transaction_id,customer_id,transaction_date,amount,payment_method
10001,102,2022-01-17,1768.82,Card
10002,429,2022-08-24,1575.68,Card
10003,874,2022-04-21,2933.33,Wallet
10004,722,2022-07-27,2540.84,UPI
10005,954,2023-02-22,2939.73,UPI
10006,255,2022-08-29,1504.64,Card
10007,532,2023-03-30,1898.09,Wallet
10008,570,2022-06-23,511.1,Wallet
10009,112,2021-08-02,356.15,Card
10010,985,2021-03-15,1341.94,Wallet
10011,313,2021-03-02,463.81,Card
10012,998,2022-11-29,608.5,UPI
10013,461,2022-06-27,4083.35,UPI
10014,708,2021-08-07,290.48,Wallet
10015,887,2021-01-12,3328.82,UPI
10016,462,2023-03-25,1435.53,UPI
10017,865,2022-02-19,4370.57,Card
10018,92,2021-02-01,2476.46,Card
10019,52,2021-06-09,1597.32,Wallet
10020,805,2021-08-25,2636.43,Card
10021,520,2023-01-09,1971.59,Wallet
10022,812,2021-06-30,2865.08,Wallet
10023,98,2023-04-09,661.21,Card
10024,236,2022-07-12,4985.25,UPI
10025,901,2021-12-07,2185.22,UPI
10026,374,2022-04-03,1806.33,UPI
10027,581,2021-03-21,3580.03,UPI
10028,927,2022-10-09,1883.11,Wallet
10029,557,2023-02-11,4183.04,UPI
10030,649,2023-03-31,2325.93,Wallet
10031,234,2023-01-29,3625.84,Card
10032,32,2022-04-18,626.52,Card
10033,289,2022-11-02,4245.98,Wallet
10034,638,2022-12-16,3705.02,UPI
10035,579,2021-04-22,1137.41,Wallet
10036,542,2021-10-19,811.9,UPI
10037,114,2023-04-02,1649.83,UPI
10038,204,2022-09-23,4882.75,Wallet
10039,29,2022-01-18,1358.47,Wallet
10040,643,2021-01-17,2335.02,UPI
10041,474,2022-05-08,247.1,Wallet
10042,697,2021-11-27,2046.41,UPI
10043,253,2023-01-09,2899.47,Wallet
10044,798,2023-05-23,4770.31,Card
10045,905,2022-05-01,2632.01,UPI
10046,922,2022-02-10,4113.63,Card
10047,386,2021-04-27,2780.93,Wallet
10048,62,2022-07-09,299.85,Card
10049,515,2023-05-30,1643.54,Wallet
10050,430,2021-04-25,2920.19,UPI
10051,580,2023-03-06,4757.91,Wallet
10052,537,2022-07-03,4309.74,Wallet
10053,691,2023-03-25,1218.94,UPI
10054,141,2022-09-17,1178.54,Wallet
10055,743,2022-07-01,1085.75,UPI
10056,300,2022-10-06,4620.24,Wallet
10057,675,2021-12-02,4278.06,UPI
10058,311,2021-12-02,3896.93,Card
10059,471,2023-06-08,2024.4,Wallet
10060,393,2023-01-10,2571.47,Wallet
10061,642,2021-05-27,2375.23,Wallet
10062,445,2021-05-02,1341.65,UPI
10063,758,2021-03-22,2574.64,Wallet
10064,809,2022-11-16,249.43,UPI
10065,172,2022-10-28,745.87,Wallet
10066,576,2022-10-24,4444.29,Card
10067,31,2022-01-10,3783.23,Wallet
10068,47,2022-07-24,2172.06,Card
10069,130,2021-03-04,2634.04,UPI
10070,352,2022-05-19,1912.99,Card
10071,978,2022-10-30,3729.82,Wallet
10072,845,2022-03-25,3942.52,Wallet
10073,622,2022-03-04,3840.1,UPI
10074,581,2023-05-18,3640.8,Wallet
10075,58,2022-03-03,1102.07,Wallet
10076,106,2022-02-25,1756.05,UPI
10077,812,2021-11-18,2402.24,UPI
10078,330,2022-11-11,1720.89,Card
10079,768,2021-06-15,3799.21,UPI
10080,824,2022-08-20,1713.83,Wallet
10081,683,2022-10-11,777.34,UPI
10082,383,2022-04-06,2055.3,Wallet
10083,985,2022-04-04,4901.58,Card
10084,162,2021-07-08,1206.82,UPI
10085,997,2022-04-09,3099.58,Wallet
10086,286,2022-01-14,2221.57,UPI
10087,71,2021-01-02,448.02,UPI
10088,767,2022-09-10,2490.6,UPI
10089,454,2021-12-30,3540.61,UPI
10090,886,2021-03-13,2614.78,Card
10091,567,2022-03-03,4373.32,Wallet
10092,835,2022-09-30,1515.79,UPI
10093,397,2021-06-19,522.62,Wallet
10094,515,2021-07-24,4689.17,Card
10095,26,2023-04-05,1953.16,Wallet
10096,313,2021-12-03,2924.39,Wallet
10097,126,2022-04-17,3980.82,Card
10098,408,2021-07-14,1689.14,UPI
10099,565,2022-11-01,3609.21,Wallet
10100,198,2022-10-15,763.55,Wallet
10101,811,2021-10-02,1527.34,UPI
10102,188,2021-01-07,809.08,UPI
10103,698,2022-07-20,4075.03,Wallet
10104,817,2022-09-08,1190.98,Card
10105,810,2023-05-04,3615.28,UPI
10106,716,2023-04-30,4722.16,UPI
10107,484,2022-07-27,2686.08,Card
10108,450,2022-08-22,2746.14,Wallet
10109,523,2023-02-09,2359.06,UPI
10110,871,2021-06-27,1696.86,Wallet
10111,354,2021-08-30,2430.71,Wallet
10112,986,2021-07-22,3053.76,Wallet
10113,658,2022-06-27,4931.36,Card
10114,597,2023-03-12,4695.05,Wallet
10115,100,2022-04-07,4324.55,Wallet
10116,616,2021-03-21,4456.74,UPI
10117,948,2022-06-07,2392.46,UPI
10118,558,2022-02-21,3321.48,Card
10119,556,2023-02-05,4485.83,Card
10120,278,2022-01-19,2025.46,UPI
10121,693,2022-01-26,4812.64,UPI
10122,699,2023-06-15,2137.35,Card
10123,990,2023-03-10,3045.31,Wallet
10124,626,2022-11-19,3578.04,Card
10125,491,2021-05-06,4757.9,Wallet
10126,255,2022-05-09,1298.62,UPI
10127,381,2021-02-16,3756.04,UPI
10128,892,2022-12-19,2652.0,UPI
10129,542,2022-04-21,1415.93,Wallet
10130,264,2022-09-11,3905.37,Card
10131,610,2022-04-09,2805.89,Wallet
10132,825,2023-02-26,3338.77,Card
10133,879,2023-04-29,1682.22,Card
10134,329,2021-05-03,2458.24,Card
10135,115,2022-04-19,3125.04,UPI
10136,276,2021-05-14,2084.06,Card
10137,488,2022-09-11,1072.03,UPI
10138,281,2023-03-28,4812.04,Card
10139,275,2023-04-21,2606.19,Card
10140,773,2022-07-16,3696.21,UPI
10141,843,2023-04-29,2114.13,UPI
10142,719,2022-08-30,1840.15,Wallet
10143,896,2023-02-19,2095.11,Card
10144,328,2021-01-23,2105.06,UPI
10145,211,2022-07-20,2766.48,Wallet
10146,727,2023-06-05,2763.0,Wallet
10147,923,2023-02-05,2536.05,UPI
10148,552,2021-08-23,760.45,Card
10149,992,2021-02-28,2530.77,Wallet
10150,26,2021-06-13,928.61,Card
10151,27,2023-02-10,718.07,Card
10152,702,2023-04-06,4669.96,Wallet
10153,83,2021-08-04,3064.26,UPI
10154,896,2021-07-02,3331.5,Card
10155,946,2022-07-23,2068.79,UPI
10156,682,2022-10-19,4554.01,Wallet
10157,413,2021-03-31,3225.86,Card
10158,167,2021-11-07,3868.93,UPI
10159,700,2022-07-11,1905.96,UPI
10160,169,2021-09-14,4804.06,Card
10161,801,2022-06-17,4120.26,UPI
10162,979,2022-06-17,4284.35,UPI
10163,229,2021-02-21,943.75,Wallet
10164,979,2021-12-04,1427.72,Wallet
10165,609,2021-06-20,1499.57,UPI
10166,367,2021-03-08,1427.46,UPI
10167,528,2022-09-17,4291.5,Card
10168,791,2021-10-27,256.24,Wallet
10169,647,2022-11-03,472.89,Card
10170,538,2023-02-17,1442.18,UPI
10171,864,2023-04-12,1079.38,Card
10172,524,2021-08-20,1236.11,UPI
10173,72,2023-04-17,4009.92,Wallet
10174,645,2021-03-09,2859.32,Wallet
10175,106,2022-05-21,128.28,UPI
10176,732,2021-01-28,2203.68,Wallet
10177,885,2022-09-20,2098.64,UPI
10178,965,2021-02-20,658.33,Card
10179,689,2022-11-24,3413.09,UPI
10180,282,2021-09-17,3540.28,Card
10181,133,2022-08-14,3632.38,UPI
10182,534,2023-02-24,3669.51,Wallet
10183,975,2022-09-12,100.26,UPI
10184,269,2022-08-09,4774.21,UPI
10185,412,2022-11-18,4089.62,UPI
10186,673,2021-07-03,4529.51,Wallet
10187,619,2021-01-23,176.65,UPI
10188,791,2023-02-25,4675.91,Wallet
10189,865,2021-05-09,4067.96,UPI
10190,747,2021-10-18,4202.37,Card
10191,18,2023-04-12,557.11,UPI
10192,754,2022-05-16,3720.01,Card
10193,117,2021-07-05,4803.59,Wallet
10194,798,2022-04-24,3424.88,Wallet
10195,794,2022-07-25,2895.75,UPI
10196,144,2022-05-07,4733.59,Wallet
10197,717,2022-05-28,2270.39,UPI
10198,551,2022-10-05,3036.54,Wallet
10199,929,2021-03-08,2434.06,Card
10200,666,2023-03-16,4670.95,Wallet
10201,688,2022-04-12,472.82,Card
10202,961,2021-10-12,2555.49,UPI
10203,753,2022-08-24,3466.07,UPI
10204,422,2022-02-21,3980.34,UPI
10205,898,2021-04-10,2956.79,Card
10206,369,2021-07-08,4553.7,UPI
10207,646,2023-06-09,4715.76,UPI
10208,558,2023-05-08,415.16,Card
10209,50,2022-01-23,2071.62,Wallet
10210,678,2021-08-29,214.95,UPI
10211,106,2023-02-21,1714.14,Wallet
10212,216,2023-01-01,2730.65,Wallet
10213,658,2022-02-21,4562.9,UPI
10214,923,2021-06-25,4248.12,UPI
10215,425,2022-01-22,724.75,Card
10216,72,2022-04-16,555.85,Card
10217,988,2023-05-03,2987.41,UPI
10218,842,2021-08-21,2707.38,Wallet
10219,785,2022-10-25,1405.25,Card
10220,759,2022-03-28,4507.32,Card
10221,446,2021-10-04,4644.1,UPI
10222,925,2021-08-17,2072.8,UPI
10223,186,2021-06-20,4462.48,UPI
10224,70,2023-01-05,1981.35,UPI
10225,974,2021-08-01,3710.4,Card
10226,150,2021-10-09,2432.12,Card
10227,246,2021-02-10,700.66,Card
10228,774,2021-05-02,4646.88,Wallet
10229,538,2021-08-15,2325.07,Card
10230,935,2021-10-21,3698.99,Card
10231,652,2022-08-23,1899.15,UPI
10232,99,2021-09-24,192.52,Card
10233,910,2022-06-25,592.6,Card
10234,278,2023-01-29,2531.48,Card
10235,563,2023-04-08,3480.83,UPI
10236,663,2022-03-27,1740.2,Card
10237,944,2022-03-25,3507.89,Card
10238,455,2023-01-26,3523.31,Wallet
10239,104,2021-03-02,3549.29,Wallet
10240,946,2022-05-17,2513.36,Wallet
10241,601,2021-05-27,4582.94,Wallet
10242,653,2022-11-17,2497.06,UPI
10243,725,2023-03-01,2306.3,Wallet
10244,233,2021-11-30,1076.97,Card
10245,394,2023-05-31,1607.51,Wallet
10246,501,2023-06-10,307.44,UPI
10247,695,2021-05-22,3204.32,Wallet
10248,251,2021-02-13,1317.83,Wallet
10249,521,2021-05-24,1590.36,UPI
10250,79,2023-05-15,3876.99,UPI
10251,52,2021-11-29,1703.38,UPI
10252,898,2022-05-12,1286.76,UPI
10253,921,2022-01-31,928.38,UPI
10254,781,2021-02-24,3896.81,UPI
10255,226,2021-11-03,735.56,Card
10256,51,2023-05-20,2323.39,Wallet
10257,186,2022-02-27,2583.96,Wallet
10258,34,2022-02-21,3468.21,UPI
10259,803,2022-11-04,3203.09,UPI
10260,742,2023-03-08,4072.53,Card
10261,131,2021-11-21,319.28,Card
10262,632,2022-12-11,1552.56,UPI
10263,443,2022-11-02,1472.66,Card
10264,838,2021-03-21,815.48,Card
10265,759,2021-01-31,1516.97,UPI
10266,432,2021-04-22,1617.85,UPI
10267,704,2022-07-12,2657.23,UPI
10268,497,2023-05-15,3352.15,UPI
10269,403,2022-12-18,1967.39,Wallet
10270,323,2022-07-18,3625.4,Wallet
10271,210,2022-10-12,1747.21,UPI
10272,615,2022-04-17,1522.39,Card
10273,329,2021-03-15,2751.82,UPI
10274,372,2022-07-07,216.21,Wallet
10275,460,2022-04-24,490.97,Card
10276,133,2022-08-12,2148.05,Wallet
10277,835,2022-01-22,4720.27,UPI
10278,651,2022-11-30,3635.41,Wallet
10279,121,2023-06-01,531.82,Wallet
10280,606,2022-07-18,4246.96,Wallet
10281,452,2022-03-09,3688.27,Card
10282,965,2022-02-16,3093.64,Wallet
10283,129,2022-04-12,4119.44,Card
10284,91,2022-08-22,2080.14,UPI
10285,604,2022-09-13,1185.36,UPI
10286,575,2023-01-07,2608.91,Wallet
10287,29,2021-09-05,2789.32,Card
10288,722,2022-08-04,2737.8,UPI
10289,524,2021-04-30,2868.86,Card
10290,333,2021-03-08,4748.65,Card
10291,297,2022-07-27,4521.0,Wallet
10292,130,2021-11-23,4391.01,Wallet
10293,293,2022-12-04,4026.94,Card
10294,173,2022-04-15,4722.8,Card
10295,720,2022-05-08,582.62,Wallet
10296,944,2022-12-02,1399.1,Card
10297,24,2022-10-25,2525.77,Wallet
10298,99,2021-10-13,4248.02,Card
10299,406,2022-08-31,2575.31,Wallet
10300,356,2021-11-08,3765.37,Card
10301,139,2021-11-05,780.9,Wallet
10302,503,2023-02-14,1336.83,Card
10303,826,2021-04-07,3685.7,UPI
10304,174,2021-04-23,907.2,UPI
10305,29,2022-09-29,1821.64,Card
10306,931,2022-04-01,1397.84,UPI
10307,496,2022-04-08,1814.32,Card
10308,655,2021-05-12,3570.79,Card
10309,828,2021-05-01,1902.45,UPI
10310,351,2021-07-16,2820.79,Card
10311,554,2023-03-17,589.67,Wallet
10312,299,2022-04-27,4044.59,Card
10313,720,2022-09-26,1912.45,Card
10314,842,2023-03-05,3277.82,UPI
10315,945,2023-06-16,3654.41,Wallet
10316,192,2023-02-11,1127.34,Card
10317,672,2021-02-08,4434.91,Card
10318,64,2022-07-20,3119.5,Card
10319,755,2022-05-27,2200.75,Card
10320,770,2022-04-19,993.44,Card
10321,664,2021-06-10,4717.27,Card
10322,215,2021-10-16,3799.83,Wallet
10323,834,2021-07-19,1119.32,Wallet
10324,166,2023-02-27,1754.78,Card
10325,543,2022-06-12,4067.4,Card
10326,883,2022-11-16,3508.82,UPI
10327,232,2022-05-18,3852.34,Wallet
10328,794,2021-09-05,2261.89,Wallet
10329,541,2022-01-18,3610.73,Card
10330,195,2021-08-06,1993.82,Wallet
10331,506,2021-03-28,1135.19,Wallet
10332,334,2021-03-23,3200.12,UPI
10333,768,2021-03-03,4882.47,UPI
10334,793,2023-03-10,1621.94,Wallet
10335,304,2022-05-15,2358.75,Wallet
10336,833,2021-02-11,3402.61,Wallet
10337,437,2021-01-12,2753.38,Card
10338,323,2023-04-13,4232.8,UPI
10339,502,2023-01-16,3832.54,Card
10340,858,2023-04-21,385.66,UPI
10341,914,2022-10-05,4992.26,UPI
10342,393,2021-04-25,3786.77,UPI
